Subject,Predicate,Object
gopro hero,HAS_ISSUE,product setup
Ticket_1,HAS_PRIORITY,critical
Ticket_1,SUBMITTED_VIA,social media
Ticket_1,HAS_STATUS,pending customer response
Ticket_1,IS_TYPE,technical issue
gopro hero,RAISED,Ticket_1
lg smart tv,HAS_ISSUE,peripheral compatibility
Ticket_2,HAS_PRIORITY,critical
Ticket_2,SUBMITTED_VIA,chat
Ticket_2,HAS_STATUS,pending customer response
Ticket_2,IS_TYPE,technical issue
lg smart tv,RAISED,Ticket_2
dell xps,HAS_ISSUE,network problem
Ticket_3,HAS_PRIORITY,low
Ticket_3,SUBMITTED_VIA,social media
Ticket_3,HAS_STATUS,closed
Ticket_3,IS_TYPE,technical issue
dell xps,RAISED,Ticket_3
microsoft office,HAS_ISSUE,account access
Ticket_4,HAS_PRIORITY,low
Ticket_4,SUBMITTED_VIA,social media
Ticket_4,HAS_STATUS,closed
Ticket_4,IS_TYPE,billing inquiry
microsoft office,RAISED,Ticket_4
autodesk autocad,HAS_ISSUE,data loss
Ticket_5,HAS_PRIORITY,low
Ticket_5,SUBMITTED_VIA,email
Ticket_5,HAS_STATUS,closed
Ticket_5,IS_TYPE,billing inquiry
autodesk autocad,RAISED,Ticket_5
microsoft office,HAS_ISSUE,payment issue
Ticket_6,HAS_PRIORITY,low
Ticket_6,SUBMITTED_VIA,social media
Ticket_6,HAS_STATUS,open
Ticket_6,IS_TYPE,cancellation request
microsoft office,RAISED,Ticket_6
microsoft surface,HAS_ISSUE,refund request
Ticket_7,HAS_PRIORITY,critical
Ticket_7,SUBMITTED_VIA,social media
Ticket_7,HAS_STATUS,open
Ticket_7,IS_TYPE,product inquiry
microsoft surface,RAISED,Ticket_7
philips hue lights,HAS_ISSUE,battery life
Ticket_8,HAS_PRIORITY,critical
Ticket_8,SUBMITTED_VIA,social media
Ticket_8,HAS_STATUS,open
Ticket_8,IS_TYPE,refund request
philips hue lights,RAISED,Ticket_8
fitbit versa smartwatch,HAS_ISSUE,installation support
Ticket_9,HAS_PRIORITY,low
Ticket_9,SUBMITTED_VIA,social media
Ticket_9,HAS_STATUS,pending customer response
Ticket_9,IS_TYPE,technical issue
fitbit versa smartwatch,RAISED,Ticket_9
dyson vacuum cleaner,HAS_ISSUE,payment issue
Ticket_10,HAS_PRIORITY,critical
Ticket_10,SUBMITTED_VIA,phone
Ticket_10,HAS_STATUS,pending customer response
Ticket_10,IS_TYPE,refund request
dyson vacuum cleaner,RAISED,Ticket_10
